=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.06.24 21:14:30 =~=~=~=~=~=~=~=~=~=~=~=
AcX = -0.01 | AcY = 0.00 | AcZ = 11.34 | Tmp = 25.99 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.05 | AcY = -0.00 | AcZ = 11.24 | Tmp = 25.85 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = -0.16 | AcY = -0.11 | AcZ = 11.20 | Tmp = 25.89 | GyX = 0.00 | GyY = -1.00 | GyZ = 0.00
AcX = 0.17 | AcY = 0.05 | AcZ = 11.17 | Tmp = 25.89 | GyX = 0.00 | GyY = -1.00 | GyZ = 0.00
AcX = 0.03 | AcY = -0.03 | AcZ = 11.32 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.07 | AcY = 0.02 | AcZ = 11.31 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.02 | AcY = 0.04 | AcZ = 11.27 | Tmp = 25.38 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.01 | AcY = -0.01 | AcZ = 11.24 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.02 | AcY = -0.06 | AcZ = 11.22 | Tmp = 25.19 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.01 | AcY = -0.01 | AcZ = 11.29 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.01 | AcY = -0.04 | AcZ = 11.30 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.02 | AcY = -0.02 | AcZ = 11.28 | Tmp = 25.28 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.03 | AcY = -0.06 | AcZ = 11.30 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.08 | AcY = -0.04 | AcZ = 11.26 | Tmp = 25.28 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.04 | AcY = -0.06 | AcZ = 11.35 | Tmp = 25.19 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.07 | AcY = 0.04 | AcZ = 11.25 | Tmp = 25.38 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.05 | AcY = -0.01 | AcZ = 11.26 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.07 | AcY = -0.03 | AcZ = 11.26 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.00 | AcY = 0.01 | AcZ = 11.29 | Tmp = 25.28 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.01 | AcY = 0.01 | AcZ = 11.25 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.08 | AcY = -0.05 | AcZ = 11.28 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.04 | AcY = -0.02 | AcZ = 11.32 | Tmp = 25.28 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.06 | AcY = 0.04 | AcZ = 11.32 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.03 | AcY = -0.02 | AcZ = 11.32 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.04 | AcY = -0.02 | AcZ = 11.19 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.06 | AcY = 0.01 | AcZ = 11.35 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.06 | AcY = -0.07 | AcZ = 11.32 | Tmp = 25.24 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.01 | AcY = -0.02 | AcZ = 11.29 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.06 | AcY = -0.04 | AcZ = 11.28 | Tmp = 25.33 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.02 | AcY = -0.01 | AcZ = 11.20 | Tmp = 25.47 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = -0.01 | AcY = -0.04 | AcZ = 11.22 | Tmp = 25.19 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.02 | AcY = 0.08 | AcZ = 11.29 | Tmp = 25.38 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.04 | AcY = -0.05 | AcZ = 11.24 | Tmp = 25.28 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
AcX = 0.04 | AcY = 0.01 | AcZ = 11.31 | Tmp = 25.38 | GyX = 0.00 | GyY = 0.00 | GyZ = 0.00
